URL,TITLE,VIVIST COUNT,LAST VISIT
https://www.facebook.com/,(9) Facebook,611,13291831907857171
https://www.messenger.com/,Messenger,31,13291402119755133
https://fast.com/,Internet Speed Test | Fast.com,4,13289474321223949
https://www.youtube.com/,(1386) YouTube,599,13291751718070716
https://www.facebook.com/messages/t/,(5) Messenger | Facebook,142,13291802102787551
https://www.facebook.com/messages/t/100001736678804/,(5) Messenger | Facebook,85,13291802104306911
https://www.facebook.com/messages/t/100001736678804,Messenger | Facebook,386,13291803759812688
https://www.facebook.com/messages/t/100010183871007,(2) Messenger | Facebook,19,13290161243744705
https://www.facebook.com/messages/t/1526643430794210,(3) Messenger | Facebook,29,13291448088018806
https://www.facebook.com/messages/t/100040961241626,Messenger | Facebook,1,13285491205553422
https://www.tiktok.com/,(1)TikTok - Make Your Day,16,13290439785847312
https://www.tiktok.com/?is_copy_url=1&is_from_webapp=v1,(1)TikTok - Make Your Day,5,13285013760420069
https://www.facebook.com/messages/t/100006121290923,(2) Messenger | Facebook,2,13284701235418447
https://www.facebook.com/messages/t/984364065006993,(20+) Messenger | Facebook,13,13290672613857093
https://www.facebook.com/messages/t/1187491648000023,(1) Messenger | Facebook,21,13288801208042931
https://kissanimex.com/,KissAnime - Watch anime online in high quality,10,13287086310106758
https://authenticate.riotgames.com/?locale=en_US&riot_theme=valorant#_=_,Sign in with your Riot account,6,13291276364998601
https://www.facebook.com/messages/t/2374533722570211,(1) Messenger | Facebook,2,13285431771501711
https://www.codashop.com/,Codashop,1,13286650075652722
https://shop.garena.ph/,Garena Topup Center,1,13286650158175789
https://shop.garena.ph/app,Call of Duty: Mobile - Garena - Garena Topup Center,1,13286650158769879
https://authgop.garena.com/oauth/login?client_id=10017&redirect_uri=https%3A%2F%2Fshop.garena.ph%2Fapp%2F100082&response_type=token&platform=3&locale=en-PH&theme=white,Payment Center,2,13286650161907161
https://www.facebook.com/dialog/oauth?client_id=701380926584428&redirect_uri=https%3A%2F%2Fauthgop.garena.com%2Foauth%2Flogin%2Ffacebook&response_type=token&scope=public_profile%2Cemail&state=client_id%253D10017%2526redirect_uri%253Dhttps%25253A%25252F%25252Fshop.garena.ph%25252Fapp%25252F100082%2526response_type%253Dtoken%2526platform%253D3%2526locale%253Den-PH%2526theme%253Dwhite,Payment Center,1,13286650164105185
https://shop.garena.ph/app/100082,Garena Topup Center,1,13286650165313962
https://shop.garena.ph/app/100082/buy,Garena Topup Center,1,13286650165748784
https://shop.garena.ph/app/100082/buy/65536,Call of Duty: Mobile - Garena - Garena Topup Center,1,13286650167183266
https://www.facebook.com/messages/t/100000055377149,(1) Messenger | Facebook,7,13284920045964580
https://mail.google.com/mail/u/0/#inbox,Inbox (423) - jlpfrancisco@neu.edu.ph - New Era University Mail,35,13291746207650418
https://www.facebook.com/messages/t/987227914636663,(15) Messenger | Facebook,8,13289926229850268
https://www.facebook.com/messages/t/100000117867690,(15) Messenger | Facebook,1,13289926273586001
https://www.facebook.com/messages/t/5015008698569268,(18) Messenger | Facebook,19,13289747857100119
https://www.facebook.com/messages/t/399636926826645,(2) Messenger | Facebook,24,13289313758686977
https://www.facebook.com/messages/t/1341640649211026,Messenger | Facebook,20,13288006880485635
https://www.facebook.com/messages/t/100035733700565,Messenger | Facebook,9,13284726317319921
https://www.speedtest.net/,Speedtest by Ookla - The Global Broadband Speed Test,23,13291477701383493
https://www.google.com/,Google,7,13291840201323084
https://gmail.com/,Inbox (423) - jlpfrancisco@neu.edu.ph - New Era University Mail,22,13291746204909163
https://www.google.com/gmail/,Inbox (423) - jlpfrancisco@neu.edu.ph - New Era University Mail,22,13291746204909163
https://mail.google.com/mail/u/0/,Inbox (423) - jlpfrancisco@neu.edu.ph - New Era University Mail,23,13291746204909163
https://mail.google.com/mail/,Inbox (423) - jlpfrancisco@neu.edu.ph - New Era University Mail,22,13291746204909163
https://www.youtube.com/channel/UC7TrbfuqtaqJyvji22UZIYw,PeenoisePlays - YouTube,2,13286652992344758
https://www.facebook.com/common/referer_frame.php,,11,13290771495896859
https://www.youtube.com/c/PeenoisePlays/videos,PeenoisePlays - YouTube,1,13286652994570166
https://twitter.com/notifications,Notifications / Twitter,1,13285236263802614
https://paraphrasing-tool.com/,Paraphrasing Tool,3,13284144108733747
https://www.facebook.com/messages/t/100005892280270,(4) Messenger | Facebook,7,13285702488138631
https://shopee.ph/,Shopee Philippines | Shop Online with Promos and Vouchers,5,13287481723040236
https://www.binance.com/en,"Buy/Sell Bitcoin, Ether and Altcoins | Cryptocurrency Exchange | Binance",106,13290715987452120
https://www.binance.com/en/my/wallet/account/main,Spot - Wallet - Binance,101,13290721366857821
https://www.binance.com/en/my/wallet/exchange/balance,Spot - Wallet - Binance,156,13290721365125984
https://www.binance.com/en/markets,Cryptocurrency Market | Coin Prices & Market Cap | Binance,33,13289081047135477
https://www.facebook.com/messages/t/1384938661552485,(1) Messenger | Facebook,21,13289928330207498
https://www.facebook.com/messages/t/1588194154580481,(1) Messenger | Facebook,2,13289928418172101
https://www.facebook.com/messages/t/100009530150861,(14) Messenger | Facebook,3,13284822706368234
https://www.facebook.com/messages/t/100000928153616,(9) Messenger | Facebook,22,13291831864801084
https://www.facebook.com/messages/t/100025145204345,Messenger | Facebook,1,13284411807591459
https://www.facebook.com/messages/t/100002242358168,(4) Messenger | Facebook,15,13289146321770534
https://www.facebook.com/messages/t/100053552503890,(1) Messenger | Facebook,4,13288547760831360
https://www.facebook.com/messages/t/100004349557921,(1) Messenger | Facebook,3,13288800119872326
https://www.facebook.com/messages/t/100009475097887,(5) Messenger | Facebook,2,13286038975310669
https://www.facebook.com/messages/t/100000331920784,(5) Messenger | Facebook,3,13286038985102495
https://shopee.ph/cart,Shopping Cart,2,13285522231948383
https://www.codashop.com/en-ph/,Codashop - Philippines,1,13286650076627082
https://www.codashop.com/en-ph/call-of-duty-mobile-shells-voucher,CODM Top Up | Buy CODM Garena Shells | Codashop,1,13286650079622524
https://accounts.binance.com/en/login?return_to=aHR0cHM6Ly93d3cuYmluYW5jZS5jb20vZW4%3D,Log In | Binance,42,13290715924330920
