URL,TITLE,VIVIST COUNT,LAST VISIT
https://www.facebook.com/,(9) Facebook,611
https://www.messenger.com/,Messenger,31
https://fast.com/,Internet Speed Test | Fast.com,4
https://www.youtube.com/,(1386) YouTube,599
https://www.facebook.com/messages/t/,(5) Messenger | Facebook,142
https://www.facebook.com/messages/t/100001736678804/,(5) Messenger | Facebook,85
https://www.facebook.com/messages/t/100001736678804,Messenger | Facebook,386
https://www.facebook.com/messages/t/100010183871007,(2) Messenger | Facebook,19
https://www.facebook.com/messages/t/1526643430794210,(3) Messenger | Facebook,29
https://www.facebook.com/messages/t/100040961241626,Messenger | Facebook,1
https://www.tiktok.com/,(1)TikTok - Make Your Day,16
https://www.tiktok.com/?is_copy_url=1&is_from_webapp=v1,(1)TikTok - Make Your Day,5
https://www.facebook.com/messages/t/100006121290923,(2) Messenger | Facebook,2
https://www.facebook.com/messages/t/984364065006993,(20+) Messenger | Facebook,13
https://www.facebook.com/messages/t/1187491648000023,(1) Messenger | Facebook,21
https://kissanimex.com/,KissAnime - Watch anime online in high quality,10
https://authenticate.riotgames.com/?locale=en_US&riot_theme=valorant#_=_,Sign in with your Riot account,6
https://www.facebook.com/messages/t/2374533722570211,(1) Messenger | Facebook,2
https://www.codashop.com/,Codashop,1
https://shop.garena.ph/,Garena Topup Center,1
https://shop.garena.ph/app,Call of Duty: Mobile - Garena - Garena Topup Center,1
https://authgop.garena.com/oauth/login?client_id=10017&redirect_uri=https%3A%2F%2Fshop.garena.ph%2Fapp%2F100082&response_type=token&platform=3&locale=en-PH&theme=white,Payment Center,2
https://www.facebook.com/dialog/oauth?client_id=701380926584428&redirect_uri=https%3A%2F%2Fauthgop.garena.com%2Foauth%2Flogin%2Ffacebook&response_type=token&scope=public_profile%2Cemail&state=client_id%253D10017%2526redirect_uri%253Dhttps%25253A%25252F%25252Fshop.garena.ph%25252Fapp%25252F100082%2526response_type%253Dtoken%2526platform%253D3%2526locale%253Den-PH%2526theme%253Dwhite,Payment Center,1
https://shop.garena.ph/app/100082,Garena Topup Center,1
https://shop.garena.ph/app/100082/buy,Garena Topup Center,1
https://shop.garena.ph/app/100082/buy/65536,Call of Duty: Mobile - Garena - Garena Topup Center,1
https://www.facebook.com/messages/t/100000055377149,(1) Messenger | Facebook,7
https://mail.google.com/mail/u/0/#inbox,Inbox (423) - jlpfrancisco@neu.edu.ph - New Era University Mail,35
https://www.facebook.com/messages/t/987227914636663,(15) Messenger | Facebook,8
https://www.facebook.com/messages/t/100000117867690,(15) Messenger | Facebook,1
https://www.facebook.com/messages/t/5015008698569268,(18) Messenger | Facebook,19
https://www.facebook.com/messages/t/399636926826645,(2) Messenger | Facebook,24
https://www.facebook.com/messages/t/1341640649211026,Messenger | Facebook,20
https://www.facebook.com/messages/t/100035733700565,Messenger | Facebook,9
https://www.speedtest.net/,Speedtest by Ookla - The Global Broadband Speed Test,23
https://www.google.com/,Google,7
https://gmail.com/,Inbox (423) - jlpfrancisco@neu.edu.ph - New Era University Mail,22
https://www.google.com/gmail/,Inbox (423) - jlpfrancisco@neu.edu.ph - New Era University Mail,22
https://mail.google.com/mail/u/0/,Inbox (423) - jlpfrancisco@neu.edu.ph - New Era University Mail,23
https://mail.google.com/mail/,Inbox (423) - jlpfrancisco@neu.edu.ph - New Era University Mail,22
https://www.youtube.com/channel/UC7TrbfuqtaqJyvji22UZIYw,PeenoisePlays - YouTube,2
https://www.facebook.com/common/referer_frame.php,,11
https://www.youtube.com/c/PeenoisePlays/videos,PeenoisePlays - YouTube,1
https://twitter.com/notifications,Notifications / Twitter,1
https://paraphrasing-tool.com/,Paraphrasing Tool,3
https://www.facebook.com/messages/t/100005892280270,(4) Messenger | Facebook,7
https://shopee.ph/,Shopee Philippines | Shop Online with Promos and Vouchers,5
https://www.binance.com/en,"Buy/Sell Bitcoin, Ether and Altcoins | Cryptocurrency Exchange | Binance",106
https://www.binance.com/en/my/wallet/account/main,Spot - Wallet - Binance,101
https://www.binance.com/en/my/wallet/exchange/balance,Spot - Wallet - Binance,156
https://www.binance.com/en/markets,Cryptocurrency Market | Coin Prices & Market Cap | Binance,33
https://www.facebook.com/messages/t/1384938661552485,(1) Messenger | Facebook,21
https://www.facebook.com/messages/t/1588194154580481,(1) Messenger | Facebook,2
https://www.facebook.com/messages/t/100009530150861,(14) Messenger | Facebook,3
https://www.facebook.com/messages/t/100000928153616,(9) Messenger | Facebook,22
https://www.facebook.com/messages/t/100025145204345,Messenger | Facebook,1
https://www.facebook.com/messages/t/100002242358168,(4) Messenger | Facebook,15
https://www.facebook.com/messages/t/100053552503890,(1) Messenger | Facebook,4
https://www.facebook.com/messages/t/100004349557921,(1) Messenger | Facebook,3
https://www.facebook.com/messages/t/100009475097887,(5) Messenger | Facebook,2
https://www.facebook.com/messages/t/100000331920784,(5) Messenger | Facebook,3
https://shopee.ph/cart,Shopping Cart,2
https://www.codashop.com/en-ph/,Codashop - Philippines,1
https://www.codashop.com/en-ph/call-of-duty-mobile-shells-voucher,CODM Top Up | Buy CODM Garena Shells | Codashop,1
https://accounts.binance.com/en/login?return_to=aHR0cHM6Ly93d3cuYmluYW5jZS5jb20vZW4%3D,Log In | Binance,42
